route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
5,2025_01_13-DX-MVS-Weekday-022,1682867,"OAK Airport / SF / Daly City",1,,005B_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682964,"Berryessa/North San Jose",0,,006B_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682868,"OAK Airport / SF / Daly City",1,,005B_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682919,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682869,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682965,"Berryessa/North San Jose",0,,006B_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682870,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682920,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682871,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682966,"Berryessa/North San Jose",0,,006B_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682872,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682921,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682873,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682922,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682874,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682923,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682875,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682924,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682876,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682925,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682877,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682926,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682878,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682927,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682879,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682928,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682880,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_01_13-DX-MVS-Weekday-022,1682929,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_01_13-DX-MVS-Weekday-022,1682881,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
