"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","plc_url","location_type","parent_station"
"LAKE","","Lake Merritt","","37.797357","-122.265232","LAKE","","0","place_LAKE"
"FTVL","","Fruitvale","","37.774873","-122.224067","FTVL","","0","place_FTVL"
"COLS","","Coliseum","","37.753604","-122.196698","COLS","","0","place_COLS"
"SANL","","San Leandro","","37.721806","-122.160713","SANL","","0","place_SANL"
"BAYF","","Bay Fair","","37.696938","-122.126431","BAYF","","0","place_BAYF"
"HAYW","","Hayward","","37.669731","-122.086941","HAYW","","0","place_HAYW"
"SHAY","","South Hayward","","37.634363","-122.057158","SHAY","","0","place_SHAY"
"UCTY","","Union City","","37.590765","-122.017230","UCTY","","0","place_UCTY"
"FRMT","","Fremont","","37.557513","-121.976605","FRMT","","0","place_FRMT"
"ROCK","","Rockridge","","37.844795","-122.251271","ROCK","","0","place_ROCK"
"ORIN","","Orinda","","37.878503","-122.183717","ORIN","","0","place_ORIN"
"LAFY","","Lafayette","","37.893220","-122.124644","LAFY","","0","place_LAFY"
"WCRK","","Walnut Creek","","37.905812","-122.067379","WCRK","","0","place_WCRK"
"PHIL","","Pleasant Hill / Contra Costa Centre","","37.928463","-122.056015","PHIL","","0","place_PHIL"
"CONC","","Concord","","37.973773","-122.029126","CONC","","0","place_CONC"
"NCON","","North Concord / Martinez","","38.003407","-122.024561","NCON","","0","place_NCON"
"PITT","","Pittsburg / Bay Point","","38.018950","-121.944248","PITT","","0","place_PITT"
"PCTR","","Pittsburg Center","","38.016873","-121.889011","PCTR","","0","place_PCTR"
"ANTC","","Antioch","","37.995415","-121.780353","ANTC","","0","place_ANTC"
"OAKL","","Oakland International Airport Station","","37.713256","-122.212237","OAKL","","0",""
"12TH","","12th Street / Oakland City Center","","37.803471","-122.271589","12TH","","0","place_12TH"
"19TH","","19th Street Oakland","","37.808060","-122.268722","19TH","","0","place_19TH"
"MCAR","","MacArthur","","37.828814","-122.267163","MCAR","","0","place_MCAR"
"CAST","","Castro Valley","","37.690776","-122.075615","CAST","","0","place_CAST"
"WDUB","","West Dublin / Pleasanton","","37.699760","-121.928301","WDUB","","0","place_WDUB"
"DUBL","","Dublin / Pleasanton","","37.701692","-121.899242","DUBL","","0","place_DUBL"
"WOAK","","West Oakland","","37.804923","-122.295144","WOAK","","0","place_WOAK"
"EMBR","","Embarcadero","","37.792789","-122.397080","EMBR","","0","place_EMBR"
"MONT","","Montgomery Street","","37.789213","-122.401642","MONT","","0","place_MONT"
